title,company_name,location,via,longitude,latitude,company_freq,location_freq,via_freq
"Lead, Software Engineer- Machine Learning/Artificial Intelligence",L3Harris Technologies,"  Plano, TX   ",L3Harris,-96.6925096,33.0136764,1,2,1
"Senior Data Engineer, Machine Learning",Harnham,"  San Francisco, CA   ",Harnham,-122.419906,37.7790262,1,16,1
Principal Machine Learning Engineer at Cision in Remote,Cision,"  Boulder, CO   ","Boulder, CO - Geebo",-105.270545,40.0149856,1,3,3
Machine Learning Data Scientist,Cyrad Solutions LLC,"  Bethesda, MD   ",Career Page,-77.12335871396549,38.98127255,1,2,1
Staff Machine Learning Engineer - Staff Data Scientist,Walmart,"  Mesquite, TX   ",ZipRecruiter,-96.599472,32.7666103,9,2,21
"Senior Technical Program Manager II, Machine Learning, Google Cloud",Google,"  New York, NY   ",Google Careers,-74.0060152,40.7127281,3,24,2
Machine Learning Scientist – NLP - Vice President - Machine...,JPMorgan Chase,"  New York, NY   ",Banking/ Accounting/ Financial Jobs,-74.0060152,40.7127281,3,24,1
Applied Machine Learning Scientist,Grainger,"  Chicago, IL   ",Grainger - Talentify,-87.6244212,41.8755616,1,11,1
Data Analyst,ASK Staffing,"  Bentonville, AR   ",ASK Consulting,-94.2088172,36.3728538,2,6,2
Data Analyst,ICF,"  Topeka, KS   ",Adzuna,-95.677556,39.049011,1,2,1
Financial Data Analyst,Children's Hospital Association,"  Lenexa, KS   ",Diversity Jobs,-94.7845837,38.9697458,1,1,1
Lab Data Analyst,State of Oklahoma,"  Oklahoma City, OK   ",Monster,-97.5170536,35.4729886,1,5,4
Adjunct - Neural Networks and Deep Learning - Cohort Traditional...,Grand Canyon University,"  Phoenix, AZ   ",HigherEdJobs,-112.074141,33.4484367,1,1,1
Python Engineer - Computer Vision / Neural Network,Braintrust,"  San Francisco, CA   ",Salary.com,-122.419906,37.7790262,1,16,4
System-2 Deep Learning and Neural Reasoning Researcher,Qualcomm,"  San Diego, CA   ",Jora,-117.1627728,32.7174202,1,2,1
Neural Network Scientist,Wolfram,"  Champaign, IL   ",BeBee,-88.2430932,40.1164841,1,1,2
Physics-Informed Neural Networks Researcher,OriGen.AI,"  New York, NY   ",LinkedIn,-74.0060152,40.7127281,1,24,16
PhD position in Deep Neural Networks with Dempster Shafer Theory,Université d'Artois / LGI2A,"  Bethune, SC   ",Glassdoor,-80.3486166,34.4147965,1,1,2
Software engineer (Machine Learning/Computer Vision/Neural...,Cadence Design Systems,"  San Jose, CA   ","San Jose, CA - Geebo",-121.890591,37.3361663,1,7,1
Data Scientist II - Reinforcement Learning (remote),"MultiPlan, Inc","  Atlanta, GA   ",Jooble,-84.3902644,33.7489924,1,4,7
Reinforcement Learning Researcher (Washington DC),STR,"  Washington, DC   ",Built In,-77.0365427,38.8950368,2,4,3
Machine Learning Scientist Internship - Reinforcement Learning,Coursera Sourcing,"  Mountain View, CA   ",Greenhouse,-122.0832101,37.3893889,1,3,11
Reinforcement Learning Software Engineer,MathWorks,"  Southborough, MA   ",Ladders,-71.5245087,42.3056501,2,1,5
Post Doc Researcher - Machine Learning and Reinforcement Learning...,Microsoft,"  New York, NY   ",Microsoft Careers,-74.0060152,40.7127281,5,24,4
(USA) Data Scientist,Walmart,"  Bentonville, AR   ",Walmart Careers,-94.2088172,36.3728538,9,6,4
Data Scientist II,University of Wisconsin-Madison,"  Madison, WI   ",The Chronicle Of Higher Education Jobs,-89.3837613,43.074761,1,3,1
Data Scientist/ Sr. Data Scientist,Colgate-Palmolive Company,"  Topeka, KS   ",Jobs At Colgate,-95.677556,39.049011,1,2,1
Data Scientist II (1),Caterpillar,"  Illinois City, IL   ",Caterpillar Careers,-90.8995898,41.3975305,1,1,1
Data Scientist,Abbott Laboratories,"  Austin, TX   ",Abbott Jobs,-97.7436995,30.2711286,1,3,1
Data Scientist,Northwestern University,"  Evanston, IL   ",ZipRecruiter,-87.6930459,42.0447388,1,1,21
Senior Principal Data Scientist,Walgreens,"  Deerfield, IL   ",Walgreens,-87.8445119,42.1711365,1,1,1
Machine Learning Engineer/Scientist,Unlearn.AI,"  Boston, MA    ",Wellfound,-71.060511,42.3554334,1,1,1
Post-Doctoral Associate in Statistical Genetics/Omics/Imaging and...,University of Minnesota,"  St Paul, MN   ",JobLeads,-93.0931028,44.9497487,1,2,5
Machine Learning Engineer at PathAI in Remote,PathAI,"  Cary, NC   ","Cary, NC - Geebo",-78.7812081,35.7882893,1,1,1
Machine Learning Engineer (Remote),Curai,  California   ,Lever,-118.755997,36.7014631,1,2,10
Deep Learning Engineer,The Phoenix Group,"  Teaneck, NJ   ",LinkedIn,-74.0072568,40.8860164,2,2,16
Sales Engineer - Deep Learning,Neural Magic,"  Somerville, MA   ",Startup Jobs,-71.0994968,42.3875968,3,3,6
"Deep Learning Research Engineer, 3D Computer Vision - SPG",Apple,"  Cupertino, CA   ",Salary.com,-122.0322895,37.3228934,10,7,4
Senior AI/ML Engineer - Sequence Learning,GSK,"  San Francisco, CA   ",GSK Careers Job Search - Jobs,-122.419906,37.7790262,2,16,1
2023 Intern - Machine Learning Engineer,Adobe,"  San Jose, CA   ",Adobe - Talentify,-121.890591,37.3361663,1,7,1
A/AI Machine Learning Engineer Senior Jobs,Lockheed Martin,"  Littleton, CO   ",Clearance Jobs,-105.016649,39.613321,3,3,5
Deep Learning Support Engineer (Remote) at AssemblyAI in San...,AssemblyAI,"  San Francisco, CA   ","San Francisco, CA - Geebo",-122.419906,37.7790262,1,16,2
Sr / Staff Research Scientist- Deep Learning & Computer Vision.,Deeproute.ai,"  Fremont, CA   ",Jobs By Workable,-121.988571,37.5482697,1,1,4
Computer Vision & Deep Learning Research Scientist,MoTek Technologies,"  Mountain View, CA   ",MoTek Technologies,-122.0832101,37.3893889,2,3,2
"Staff Machine Learning Engineer - NLP, LLM, Deep-Learning",Eightfold AI,"  Santa Clara, CA   ",Glassdoor,-121.6846349,37.2333253,1,4,2
Blockchain Analyst,Crypto.com,"  Miami, FL   ",Simplify,-80.19362,25.7741728,2,2,2
Blockchain Technology Instructor,University of California Los Angeles,"  Los Angeles, CA   ","Higher Education Recruitment Consortium (HERC), HERC Jobs",-118.242766,34.0536909,1,8,1
Blockchain Technical Expert,Swift,"  Manassas, VA   ",LinkedIn,-77.4752667,38.7509488,1,1,16
Senior Product Manager (Blockchain),"Trac Technologies, Inc.","  Los Angeles, CA   ",Lever,-118.242766,34.0536909,1,8,10
Blockchain Engineer,Resource 1,"  Chicago, IL   ",Dice,-87.6244212,41.8755616,1,11,4
Bioinformatics Data Scientist,LandOLakes,"  Arden Hills, MN   ",Land O Lakes Careers - Land O'Lakes Inc.,-93.1666945,45.0761409,1,1,1
Senor Data Scientist,Blue Cross Blue Shield of Minnesota,"  Eagan, MN   ",Blue Cross Blue Shield Of Minnesota,-93.1659179,44.818173,1,1,1
"Data Scientist II, Associate",AbbVie,"  North Chicago, IL   ",BioSpace,-87.8411818,42.325578,1,1,1
Senior Data Scientist,Sam's Club,"  Bentonville, AR   ",Walmart Careers,-94.2088172,36.3728538,1,6,4
"Data Scientist II, Associate",ABBVIE,  Illinois   ,AbbVie Careers,-89.4337288,40.0796606,1,1,1
"Data Scientist - Ads Measurement - Chicago, IL",Walmart,"  Schererville, IN   ",ZipRecruiter,-87.4547605,41.4789246,9,2,21
Data Scientist,ISSAC LLC,"  Huntsville, AL   ",DataYoshi,-86.5859011,34.729847,1,1,1
Data Scientist - Credit Risk,Cottonwood Financial,"  Irving, TX   ",LinkedIn,-96.9442177,32.8295183,2,5,16
Research Associate  in Natural Language Processing - Now Hiring,SRI International,"  Menlo Park, CA   ",Snagajob,-122.177992,37.4519671,3,5,5
Audit & Assurance - Machine Learning & Natural Language Processing...,Deloitte,"  Princeton, NJ   ",Deloitte Jobs,-74.6592958,40.3492744,3,1,3
"Research Scientist, Natural Language Processing and Responsible AI",Facebook,"  New York, NY   ",Trabajo.org,-74.0060152,40.7127281,3,24,2
Technical Leader - Natural Language Processing (NLP),Kitware,"  Arlington, TX   ",Getwork,-97.1071186,32.7355816,2,1,1
"Lead Research Scientist, Natural Language Processing",Snap Inc.,"  Los Angeles, CA   ",Jooble,-118.242766,34.0536909,3,8,7
Machine Learning Engineer – Natural Language Processing ...,MoTek Technologies,"  San Francisco, CA   ",MoTek Technologies,-122.419906,37.7790262,2,16,2
"Software Engineer, Natural Language Processing – Cambridge,MA",Kovasys,"  Cambridge, MA   ",Kovasys,-71.1056157,42.3750997,1,3,1
Data Scientist - Natural Language Processing remote,MultiPlan,"  Atlanta, GA   ",Jobilize,-84.3902644,33.7489924,1,4,1
Assistant Research Professor - Machine Learning and Natural...,Johns Hopkins University,"  Baltimore, MD   ",Mendeley,-76.610759,39.2908816,2,2,2
"Machine Learning Engineer, Framework (Planning) - SPG",Apple,"  Cupertino, CA   ",Careers At Apple,-122.0322895,37.3228934,10,7,8
Research Scientist in Reinforcement Learning,InstaDeep Ltd,"  Boston, MA   ",LinkedIn,-71.060511,42.3554334,1,4,16
Research Intern - Reinforcement Learning MSRNYC,Microsoft Corporation,"  New York, NY   ",New York Seasonal Jobs - New York State,-74.0060152,40.7127281,1,24,1
Machine Learning Data Engineer,Oak Ridge National Laboratory,"  Oak Ridge, TN   ",ORNL Jobs - Oak Ridge National Laboratory,-84.2696449,36.0103562,4,4,4
"Machine Learning Lead, Creativity Apps",Apple,"  New York, NY   ",Careers At Apple,-74.0060152,40.7127281,10,24,8
Staff Data Scientist | Reinforcement Learning,Walmart Global Tech,"  Sunnyvale, CA   ",LinkedIn,-122.036349,37.3688301,2,4,16
"Physical Therapist, Neural Network Research",UCLA Health Systems,"  Los Angeles, CA   ",Getting Hired,-118.242766,34.0536909,1,8,1
Senior Systems Software Engineer (DeepSparse Engine),Neural Magic,"  Somerville, MA   ",Jobs By Workable,-71.0994968,42.3875968,3,3,4
Senior Software Engineer (Python / Deep Neural Networks),Jobot,"  New York, NY   ",Dice,-74.0060152,40.7127281,2,24,4
"HPC Software Engineer, DeepSparse Engine",Neural Magic,"  Somerville, MA   ",Startup Jobs,-71.0994968,42.3875968,3,3,6
"Senior Product Manager, Gaming-Web3 (AI/Neural Networks)",Three Pillars Recruiting,"  Los Angeles, CA   ",LinkedIn,-118.242766,34.0536909,1,8,16
Neuromorphic AI Engineer,"Gen Nine, Inc.","  Covington, KY   ","Gen Nine, Inc.",-84.508371,39.0836224,1,1,1
Deep Learning Engineer,Apple,"  Cupertino, CA   ",Careers At Apple,-122.0322895,37.3228934,10,7,8
"Machine Learning Engineer – Neural Network Optimization, Autopilot AI",Tesla,"  Palo Alto, CA   ",Karkidi,-122.1598465,37.4443293,2,9,6
"ML Engineer, Deep Learning & NLP",Forethought,"  San Francisco, CA   ",AngelList,-122.419906,37.7790262,1,16,7
Machine Learning Engineer/ Data Scientist- NLP 2023 Summer Intern...,Supportiv,"  Irvine, CA   ",FOX 5 San Diego Jobs,-117.8259819,33.6856969,4,1,1
Data Scientist II - Natural Language Processing (NLP),Bank of America,"  Charlotte, NC   ",Karkidi,-80.8430827,35.2272086,1,1,6
"Lead Research Scientist, Natural Language Processing",Snap Inc.,"  Los Angeles, CA   ",Jooble,-118.242766,34.0536909,3,8,7
Machine Learning Engineer/ Data Scientist- NLP 2023 Summer Intern...,Supportiv,"  Columbus, OH   ",WJHL Jobs,-83.0007065,39.9622601,4,1,2
Assistant Research Professor - Machine Learning and Natural...,Johns Hopkins University,"  Baltimore, MD   ",Mendeley,-76.610759,39.2908816,2,2,2
Spanish Natural Language Processing Dialog Engineer - Watson Orders,IBM Careers,"  Mountain View, CA   ",ZipRecruiter,-122.0832101,37.3893889,1,3,21
Natural Language Processing Scientist (NLP),"Westbourne Quantitative Trading, Technology & Research","  Chicago, IL   ",Indeed,-87.6244212,41.8755616,1,11,5
NLP (natural language processing) Analyst - India Remote,Degreed,"  Pleasanton, CA   ",Employbl,-121.8746789,37.6624312,1,1,2
Senior Natural Language Processing Researcher,Leidos,"  Herndon, VA   ",Monster,-77.3859479,38.9695316,2,1,4
Senior Natural Language Processing Researcher,Tencent Americas,"  Seattle, WA   ",CareerBuilder,-122.330062,47.6038321,2,7,1
Sr. Deep Learning Optimization Engineer,Rivian,  California   ,Goodgigs,-118.755997,36.7014631,1,2,1
JUNIOR AND SENIOR DEEP LEARNING ENGINEERS,Innopeak Tech Inc,"  Palo Alto, CA   ",International Symposium On Visual Computing,-122.1598465,37.4443293,1,9,1
"(Senior) Scientist, Deep Learning",Flagship Pioneering,"  Cambridge, MA   ",Flagship Pioneering - Talentify,-71.1056157,42.3750997,1,3,1
Machine Learning Engineer,Unify Consulting,"  San Francisco, CA   ",Lever,-122.419906,37.7790262,2,16,10
Technical Product Owner - Deep Learning,Premier System,"  Lincolnshire, IL   ",Indeed,-87.9084039,42.1900249,1,1,5
Summer 2023 Intern - Machine Learning (Masters/PhD),Ansys,"  San Jose, CA   ",Search Ansys Careers - Ansys,-121.890591,37.3361663,1,7,1
Machine Learning Engineer,RIOS Intelligent Machines,"  Menlo Park, CA   ",Greenhouse,-122.177992,37.4519671,2,5,11
Blockchain Engineer,Jump Crypto,"  Chicago, IL   ",Startup Jobs,-87.6244212,41.8755616,1,11,6
Sr. Decentralized Systems Engineer - Blockchain,"BloKchain Talent, LLC","  Sausalito, CA   ",SmartRecruiters Job Search,-122.485469,37.8590272,1,1,5
Blockchain & Digital Assets Senior,Deloitte,"  Las Vegas, NV   ",Deloitte Jobs,-115.148516,36.1672559,3,1,3
Software Development Manager - Amazon Managed Blockchain (AMB...,"Amazon Dev Center U.S., Inc.","  Boulder, CO   ","Boulder, CO - Geebo",-105.270545,40.0149856,2,3,3
UX/UI Designer I,Fox Corporation,"  Austin, TX   ",FOX Careers,-97.7436995,30.2711286,1,3,1
Applied Machine Learning - Postdoctoral Researcher Jobs,Lawrence Livermore National Laboratory,"  Livermore, CA   ",Clearance Jobs,-121.768053,37.6820583,1,3,5
AI Machine Learning Scientist,Saxon Global Inc,"  Chicago, IL   ",Jooble,-87.6244212,41.8755616,1,11,7
Computer Vision/Machine Learning Engineer (FT),Edgetensor Technologies,"  Dallas, TX   ",Indeed,-96.7968559,32.7762719,1,4,5
Machine Learning Engineer III,Expedia Group,"  Seattle, WA   ",Expedia Group - Talentify,-122.330062,47.6038321,2,7,2
"Senior AI Scientist, Perturbation Biology (Artificial...",Genentech,"  South San Francisco, CA   ",Genentech,-122.4168664,37.6535403,3,5,2
Machine Learning Engineer,Technical Link,"  Santa Clara, CA   ",Dice,-121.6846349,37.2333253,1,4,4
Machine Learning Technical Support,Johns Hopkins Applied Physics Laboratory,"  Laurel, MD   ",Jobs - Johns Hopkins University Applied Physics Laboratory,-76.8669233,39.1044123,2,2,2
Machine Learning Infrastructure Engineer,Warner Bros. Discovery,"  Culver City, CA   ",ShowbizJobs,-118.396466,34.0211224,1,1,1
Machine Learning Researcher,STR,"  Woburn, MA   ",Jobs By Workable,-71.1522766,42.4792618,2,1,4
Supplier Diversity Data Analyst - Remote,Corporate,  Missouri    ,Centene - Centene Corporation,-92.5617875,38.7604815,3,1,3
Data Analyst,Life.Church,"  Edmond, OK   ",Lever,-97.4649038,35.6571367,1,1,10
Senior Data Analyst (eDiscovery Manager),Walmart,"  Bentonville, AR   ",Walmart Careers,-94.2088172,36.3728538,9,6,4
Data Analyst II,Lockton Companies,"  Kansas City, MO   ",ZipRecruiter,-94.5781416,39.100105,1,1,21
Data Analyst/Drilling Engineering Technician,Airswift,"  Oklahoma City, OK   ",Airswift,-97.5170536,35.4729886,2,5,2
65 Cloud Design Engineer 2,ARSIEM,"  Annapolis Junction, MD   ",Lever,-76.795323688298,39.12545965,2,12,10
Cloud Design Engineer (TS/SCI + Poly) - Security Clearance Required,The DarkStar Group,"  Annapolis Junction, MD   ",WOWKtv Jobs,-76.795323688298,39.12545965,1,12,1
Data Architect,Applied Information Sciences,"  Reston, VA   ",AIS Careers - Applied Information Sciences,-77.34188283719988,38.955696,1,2,1
"Data Cloud Engineer, Senior",Booz Allen Hamilton,"  Chantilly, VA   ",Booz Allen Hamilton,-77.40221718011088,38.8788355,3,1,2
"Data Architect, Big Data, Cloud Technologies",Elevance Health,"  Chicago, IL   ",Karkidi,-87.6244212,41.8755616,2,11,6
248 Cloud Software Engineer 3 - Security Clearance Required,Arsiem Corporation,"  Annapolis Junction, MD   ",WJHL Jobs,-76.795323688298,39.12545965,2,12,2
"Cybersecurity - Cloud Software Engineer - Hadoop, Big Data","Erias Ventures, LLC","  Annapolis Junction, MD   ",ZipRecruiter,-76.795323688298,39.12545965,2,12,21
Big Data Architect,Johnson Technology Systems Inc.,"  Washington, DC   ",Ladders,-77.0365427,38.8950368,1,4,5
Scrum Master/Business Analyst (Cloud computing / Data integration),Trigyn,"  White Plains, NY   ",Trigyn,-73.7629097,41.0339862,1,1,1
Cloud Design Engineer 2 - Security Clearance Required,Raytheon Technologies,"  Annapolis, MD   ",FOX44 News Jobs,-76.492786,38.9786401,3,4,3
"Sales Engineer, Data Analytics, Google Cloud",Google,"  Salt Lake City, UT   ",Google Careers,-111.886797,40.7596198,3,3,2
John Deere (Cloud & Big Data Engineer)_2022.06,Full Stack Resources,"  Moline, IL   ",Recruiterflow,-90.5136642,41.5058344,1,1,1
"Cloud Consultant, Big Data and Analytics, Google Cloud",Google,"  Reston, VA   ",Karkidi,-77.34188283719988,38.955696,3,2,6
"Lead Software Engineer, Cloud and Big Data",JPMorgan Chase,"  Wilmington, DE   ",LocalJobs.com,-75.546589,39.7459468,3,1,5
"Data Architect, Big Data, Cloud Technologies",Elevance Health,"  Atlanta, GA   ",ZipRecruiter,-84.3902644,33.7489924,2,4,21
"Sales Engineer, Data Analytics, Google Cloud",Google Inc.,"  Salt Lake City, UT   ",Jooble,-111.886797,40.7596198,1,3,7
Cloud Support Engineer I - Big Data,"Amazon Web Services, Inc.","  Salt Lake City, UT   ",Salt Lake City UT Geebo.com Free Classifieds Ads - Geebo,-111.886797,40.7596198,2,3,1
65 Cloud Design Engineer 2,ARSIEM,"  Annapolis Junction, MD   ",Lever,-76.795323688298,39.12545965,2,12,10
Big Data Cloud Architect,Tephra Inc.,"  Edison, NJ   ",BeBee,-74.4113926,40.518157,1,1,2
Data Analyst | Business Intelligence Report Developer,Robert Half,"  Olathe, KS   ",Robert Half,-94.81887,38.8838856,1,2,1
Data Analyst II - Now Hiring,Superior HealthPlan,"  Roxton, TX   ",Snagajob,-95.7257949,33.5462168,1,1,5
Data Analyst II,Cenetene Corporation,"  Jefferson City, MO   ",LocalJobs.com,-92.1724265,38.577359,1,1,5
Senior Machine Learning Engineer,Encipher Technology,  Texas   ,Encipher Technology,-98.5456116,31.2638905,1,3,1
Staff Machine Learning Engineer - Staff Data Scientist,Walmart,"  Mesquite, TX   ",ZipRecruiter,-96.599472,32.7666103,9,2,21
Machine Learning Engineer,Covariant,"  Emeryville, CA   ",Lever,-122.2865266,37.8314089,1,1,10
Machine Learning Engineer,RIOS Intelligent Machines,"  Menlo Park, CA   ",Greenhouse,-122.177992,37.4519671,2,5,11
A/AI Machine Learning Engineer Senior Jobs,Lockheed Martin,"  Littleton, CO   ",Clearance Jobs,-105.016649,39.613321,3,3,5
Senior Machine Learning Engineer - Cell State Modeling - US,GSK,"  Cambridge, MA   ",The Muse,-71.1056157,42.3750997,2,3,2
Senior Machine Learning Engineer - Emerging Technologies,General Electric,"  Grand Rapids, MI   ",GE Jobs,-85.6678639,42.9632405,1,1,1
Full Stack Blockchain Engineer,Snickerdoodle Labs,"  San Jose, CA   ",Greenhouse,-121.890591,37.3361663,1,7,11
Senior Blockchain Research Analyst,Analog,"  San Francisco, CA   ",Lever,-122.419906,37.7790262,1,16,10
"Principal Software Engineer, Wallet Blockchain",Fidelity Investments Careers,"  Durham, NC   ",Fidelity Careers - Fidelity Investments,-78.9018053,35.996653,1,1,1
Software Development Manager - Amazon Managed Blockchain (AMB...,"Amazon Dev Center U.S., Inc.","  Boulder, CO   ","Boulder, CO - Geebo",-105.270545,40.0149856,2,3,3
Spanish Natural Language Processing Dialog Engineer,IBM Corporation,"  Sacramento, CA   ",Trabajo.org,-121.493895,38.5810606,1,1,2
Natural Language Processing Engineer,"Brain Technologies, Inc.","  San Mateo, CA   ",Karkidi,-122.3330573,37.496904,1,3,6
Machine Learning Engineer/ Data Scientist- NLP 2023 Summer Intern...,Supportiv,"  San Jose, CA   ",WDHN Jobs,-121.890591,37.3361663,4,7,1
"AI Technology and Systems, Artificial Intelligence Researcher...",MIT Lincoln Laboratory,"  Lexington, MA   ",Jobs At MIT Lincoln Laboratory - Massachusetts Institute Of Technology,-71.2245003,42.4473175,2,2,2
Machine Learning Engineer/ Data Scientist- NLP 2023 Summer Intern...,Supportiv,"  Chicago, IL   ",KLFY Jobs,-87.6244212,41.8755616,4,11,2
Post-Doc Researcher for Natural Language Processing,Robert Bosch,"  Sunnyvale, CA   ",Ladders,-122.036349,37.3688301,1,4,5
Technical Leader - Natural Language Processing (NLP),Kitware,"  Minneapolis, MN   ",ZipRecruiter,-93.2654692,44.9772995,2,1,21
"Lead Research Scientist, Natural Language Processing",Snap Inc.,"  Los Angeles, CA   ",Jooble,-118.242766,34.0536909,3,8,7
Research Associate  in Natural Language Processing - Now Hiring,SRI International,"  Menlo Park, CA   ",Snagajob,-122.177992,37.4519671,3,5,5
